CaseNo,Address_1,DateOpened_1,CaseType,OpenClosed,Status,StatusDate_1
21723421W                ,3421 Featheridge Dr,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
09321022W                ,1022 Highland Park Dr,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/04/2014
35336400W3               ,6400 Polo Club Blvd,02/03/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/03/2014
12781840#1               ,1840 Mccullough Dr #1,02/03/2014,Housing   ,Closed,Resolved Complaint                                ,02/06/2014
33680051                 ,51 Queen Ave,02/03/2014,Housing   ,Closed,Resolved Complaint                                ,03/04/2014
13600529                 ,529 Mt Tabor Rd,02/03/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/06/2014
06400641                 ,641 Elk Lake Dr,02/03/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/07/2014
03041952-3               ,1952 Cambridge Dr,02/03/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/05/2014
06470320#503             ,320 Elm Tree Ln #503,02/03/2014,Housing   ,Closed,Invalid Complaint                                 ,02/10/2014
07702070#103             ,2070 Garden Springs Dr #103,02/03/2014,Housing   ,Closed,Invalid Complaint                                 ,02/10/2014
36170315                 ,315 Mcconnells Trce,02/03/2014,Housing   ,Closed,Invalid Complaint                                 ,02/10/2014
03641123CONDEM#60        ,1123 Centre Pkwy #60,02/03/2014,Housing   ,Closed,Closed Out                                        ,04/09/2014
19171083-2               ,1083 Trent Blvd,02/03/2014,Housing   ,Closed,Closed Out                                        ,04/17/2014
10100343-2               ,343 Jefferson St,02/03/2014,Housing   ,Closed,Closed Out                                        ,02/24/2014
17310551#37-2            ,551 W Sixth St #37,02/03/2014,Housing   ,Closed,Closed Out                                        ,06/10/2014
03910411W12              ,411 Chestnut St,02/03/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,03/26/2014
19440715W8               ,715 N Upper St,01/31/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,02/18/2014
19440713W8               ,713 N Upper St,01/31/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,02/18/2014
19440729W6               ,729 N Upper St,01/31/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,02/25/2014
19440703W7               ,703 N Upper St,01/31/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,04/30/2014
17451324W8               ,1324 Southern Ave,01/31/2014,Nuisance  ,Closed,Nuisance Resolved w/o Notice/Order                ,02/04/2014
13970000SIGNS128         ,0 Nicholasville Rd,01/31/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,01/31/2014
08860000SIGNS129         ,0 Harrodsburg Rd,01/31/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,01/31/2014
18590000SIGNS143         ,0 Tates Creek Rd,01/31/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,01/31/2014
14660000SIGNS18          ,0 Pasadena Dr,01/31/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,01/31/2014
16010000SIGNS123         ,0 Richmond Rd,01/31/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,01/31/2014
04170000SIGNS95          ,0 Clays Mill Rd,01/31/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,01/31/2014
