permit_no;date;address;type;work;entity;start;end;lnblock
 29796;06/02/2015;2021 Haddrell Cv;Annual General Permit;New Construction;Columbia Gas;06/15/2015;07/06/2015;No
 29797;06/02/2015;531 W Fifth St;Street Cut;Maintenance;Columbia Gas;05/29/2015;06/19/2015;Yes
 29798;06/02/2015;537 W Fifth St;Street Cut;Maintenance;Columbia Gas;05/29/2015;06/19/2015;Yes
 29773;06/02/2015;276 Somersly Pl;Annual General Permit;New Construction;Columbia Gas;06/10/2015;07/01/2015;No
 29779;06/02/2015;1976 Greenleaf Dr;Installation;Repair;Columbia Gas;05/27/2015;06/17/2015;No
 29780;06/02/2015;2320 Tulsa Rd;Installation;Repair;Columbia Gas;05/27/2015;06/02/2015;No
 29781;06/02/2015;1802 Carolyn Dr;Installation;Repair;Columbia Gas;05/27/2015;06/17/2015;No
 29782;06/02/2015;1743 Woodlark Ave;Installation;Repair;Columbia Gas;05/26/2015;06/16/2015;No
 29783;06/02/2015;Hill N Dale Rd;Street Cut;Repair;Columbia Gas;05/26/2015;06/16/2015;Yes
 29774;06/02/2015;2065 Falling Leaves Ln;Installation;New Construction;Columbia Gas;06/10/2015;07/01/2015;No
 29784;06/02/2015;1851 Battery St;Installation;New Construction;Columbia Gas;06/10/2015;07/01/2015;No
 29785;06/02/2015;3215 Cornwall Dr;Installation;New Construction;Kentucky American Water;06/29/2015;07/29/2015;No
 29786;06/02/2015;249 Walton Ave;Annual General Permit;Maintenance;Kentucky Utilities;07/01/2015;08/01/2015;Yes
 29777;06/02/2015;1407 Highlawn Ave;Annual General Permit;Repair;Columbia Gas;05/25/2015;06/02/2015;No
 29772;06/02/2015;435 Redding Rd;Installation;Maintenance;Columbia Gas;05/26/2015;06/01/2015;No
 29778;06/02/2015;546 Freeman Dr;Installation;Repair;Columbia Gas;05/22/2015;06/02/2015;No
 29770;06/02/2015;936 Darda Ct;Installation;Maintenance;Kentucky American Water;05/26/2015;06/16/2015;No
 29771;06/02/2015;205 Catalpa Rd;Installation;Maintenance;Kentucky American Water;05/26/2015;06/16/2015;No
 29768;06/02/2015;1810 Evans Mill Rd;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29769;06/02/2015;3108 Navajo Ct;Annual General Permit;Repair;Columbia Gas;05/19/2015;06/09/2015;No
 29776;06/02/2015;210 Glendover Rd;Installation;Maintenance;Contractor;06/02/2015;06/05/2015;No
 29765;05/29/2015;1550 Aristides Blvd;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29764;05/29/2015;340 Taylor Dr;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29766;05/29/2015;Cooper Dr;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29767;05/29/2015;;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29743;05/28/2015;560 Cooper Dr;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
