CaseNo;Address_1;DateOpened_1;CaseType;OpenClosed;Status;StatusDate_1
33240425W                ;425 Fairdale Dr;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/14/2014
02340786W                ;786 Bravington Way;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/10/2014
12721060W10              ;1060 Maywick Dr;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;05/01/2014
08421951W3               ;1951 Greenleaf Dr;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/18/2014
19810612W                ;612 Waldo Way;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/18/2014
19430114W26              ;114 University Ave;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/10/2014
00681244W3               ;1244 Ascot Park;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;05/06/2014
19890516W6               ;516 N Martin Luther King Blvd;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/04/2014
06470609W2               ;609 Elm Tree Ln;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/04/2014
06470621W11              ;621 Elm Tree Ln;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/04/2014
16830322W8               ;322 E Second St;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/11/2014
06470613W4               ;613 Elm Tree Ln;03/20/2014;Nuisance  ;Closed;Closed Nuisance                                   ;09/30/2014
00681244-2               ;1244 Ascot Park;03/20/2014;Housing   ;Closed;Closed Out                                        ;05/06/2014
09211268-3               ;1268 Hialeiah Ct;03/20/2014;Housing   ;Closed;Closed Out                                        ;05/06/2014
13591184-3               ;1184 Mt Rushmore Way (Aka 1186 #B);03/20/2014;Housing   ;Closed;Closed Out                                        ;05/06/2014
19601702EMER             ;1702 Versailles Rd;03/20/2014;Housing   ;Closed;Closed Out                                        ;03/27/2014
